"Z_1","Z_2","Z_3","Z_4","Z_5"
0,0,0,0.0165820820903628,0
0.902286968605162,0,0,0,0
0,0.958955345902135,0,0,0
0,0.0924334495642268,0.362285731414198,0,0.724721151421737
0,0,0,0,0
